architecture,run,trial,val_acc,test_acc,train_seed,lr,lr_decay,weight_decay,selected_by_val,selected_by_test
MLP-Giant,1,99,76.04,75.85,1702101148,0.0005790871317466874,0.10583376548943323,3.147716778056831e-05,False,False
MLP-Giant,2,0,73.59,73.59,262752419,0.042288544834209275,0.24839385044085752,0.0036296388422530045,False,False
MLP-Giant,2,1,74.62,74.85,1908911283,0.0025367062756801537,0.1261826351737091,0.00703025992381756,False,False
MLP-Giant,2,2,83.48,83.61,1069669170,0.002995738407750035,0.0,0.00011692519614628179,False,False
MLP-Giant,2,3,74.76,75.58,1135769942,0.00047586240297761,0.3048839279517825,2.2468147924662563e-05,False,False
MLP-Giant,2,4,64.63,64.84,1607296991,0.00012672360492635011,0.10859423482398077,1.8134191998456486e-06,False,False
MLP-Giant,2,5,65.03,65.8,1651280740,0.0001297632491289758,0.22079197278227328,2.9076311211246795e-06,False,False
MLP-Giant,2,6,65.81,66.76,1740597985,0.0001411732228056872,0.30184336503347226,4.20154457038004e-06,False,False
MLP-Giant,2,7,83.12,82.81,655990163,0.0293513982728493,0.272187601739284,0.00015271837964051706,False,False
MLP-Giant,2,8,65.13,65.17,1335512445,0.00014612162320487546,0.10056588480093408,5.192628373496156e-05,False,False
MLP-Giant,2,9,82.87,82.83,726205297,0.028761113201876572,0.24061825676277326,0.00022598640260946954,False,False
MLP-Giant,2,10,79.18,79.58,2109419145,0.01395654303369619,0.1012519573837319,3.672494565369428e-06,False,False
MLP-Giant,2,11,74.16,73.89,888318205,0.00027921255310630233,0.0,2.544892550492773e-06,False,False
MLP-Giant,2,12,82.8,83.64,44100947,0.0033097191452636718,0.17478698893546296,3.885725445932e-05,False,False
MLP-Giant,2,13,81.14,80.8,551775747,0.004446398466897261,0.10872950505426798,0.001999821694995757,False,False
MLP-Giant,2,14,82.12,82.24,1082142439,0.004066054687178896,0.27350657107234627,3.125820851383007e-06,False,False
MLP-Giant,2,15,65.09,66.29,1933228124,0.00015306173717793622,0.19625458016219813,0.0007857831877058216,False,False
MLP-Giant,2,16,61.91,62.74,1073744062,0.00010421335742711464,0.13538560764332744,7.027872169000774e-05,False,False
MLP-Giant,2,17,71.09,71.25,520226893,0.00012949010486643531,0.0,2.7432900243999844e-05,False,False
MLP-Giant,2,18,79.1,79.73,1421643670,0.012868843436786678,0.11706905355304328,0.0030102732037544694,False,False
MLP-Giant,2,19,61.68,63.06,822406724,0.010093817753391512,0.0,0.007090912216739757,False,False
MLP-Giant,2,20,68.27,68.87,1170676832,0.0002465002147996505,0.15839199329354162,0.0015272248734235908,False,False
MLP-Giant,2,21,79.07,79.8,966544326,0.037834782845139366,0.16876552783483023,1.326077995772398e-06,False,False
MLP-Giant,2,22,76.73,77.33,1509537985,0.0006512770696522932,0.10804823751522345,3.4140961322018475e-06,False,False
MLP-Giant,2,23,75.97,76.23,255253853,0.0004253793146384837,0.0,0.00021601447736400672,False,False
MLP-Giant,2,24,45.52,46.1,2105527824,0.0498176690050159,0.0,0.0056863717177353165,False,False
MLP-Giant,2,25,78.28,78.39,1024003927,0.0009268543252424644,0.4154370047643616,2.6341642245490067e-05,False,False
MLP-Giant,2,26,82.65,82.83,1562971707,0.013587160524547351,0.37172632953805984,0.00021975161194203263,False,False
MLP-Giant,2,27,66.11,66.17,2002874523,0.0001307862921613064,0.4351413136747435,0.0016593235727506259,False,False
MLP-Giant,2,28,74.26,74.79,767158497,0.0004912325500464491,0.41659562984121923,0.002646099653112253,False,False
MLP-Giant,2,29,81.02,82.09,566023415,0.006378802387329191,0.23389462249132154,3.233693497644192e-05,False,False
MLP-Giant,2,30,80.64,80.97,558617799,0.0015516046510818358,0.3684592771551625,5.448870384543501e-06,False,False
MLP-Giant,2,31,75.12,74.94,536543110,0.0004656285135358231,0.2576732360519302,0.000926459327997502,False,False
MLP-Giant,2,32,65.09,65.51,1838652090,0.00013353886003773173,0.1233189911647437,1.9033637193741576e-06,False,False
MLP-Giant,2,33,71.53,72.29,1966514597,0.0024230430449243396,0.0,0.00019851519555550052,False,False
MLP-Giant,2,34,83.24,82.16,511145881,0.023783877065641976,0.49594380556487133,9.329178740624516e-05,False,False
MLP-Giant,2,35,82.68,83.47,155878416,0.003682413637941435,0.15442129372489302,0.00025036739817056004,False,False
MLP-Giant,2,36,63.68,63.97,1456859221,0.00010829609887588961,0.10747282672178983,3.4028969693108894e-06,False,False
MLP-Giant,2,37,74.34,75.45,406516949,0.0035439684942917774,0.1341770860577056,0.006438581884842118,False,False
MLP-Giant,2,38,73.99,74.84,1538642972,0.02422231132279205,0.1217348739324475,0.005246982649919204,False,False
MLP-Giant,2,39,80.29,80.39,1268802720,0.0816864343735105,0.21285015484086173,4.8782525672077415e-06,False,False
MLP-Giant,2,40,71.78,72.0,2001994586,0.0002841544457346134,0.37388826447803,0.0017280712413378842,False,False
MLP-Giant,2,41,81.97,82.64,1009026550,0.0023618568569633487,0.2435941550547007,2.7800782520280323e-06,False,False
