architecture,run,trial,val_acc,test_acc,train_seed,lr,lr_decay,weight_decay
MLP-Tiny,15,5,49.729729729729726,50.067476383265856,2018781330,0.0258772701965661,0.000142738940313,0.0001136426904772
MLP-Tiny,15,6,29.864864864864863,31.84885290148448,915205304,0.0001050199831176,0.000209765685825,1.607907761052186e-05
MLP-Tiny,15,7,53.37837837837838,52.361673414305,101160750,0.0054212753317469,0.0001236088170054,0.0001409920111727
MLP-Tiny,15,8,47.2972972972973,47.908232118758434,301229972,0.0016913297662908,0.0,7.352359017159827e-05
MLP-Tiny,15,9,50.13513513513514,51.956815114709855,1644394440,0.0171877158733804,0.0006191878833902,2.602446807559177e-05
MLP-Tiny,16,0,52.06043956043956,53.49794238683128,1366087133,0.0044693295707604,7.57920637647024e-05,0.0022144738124823
MLP-Tiny,16,1,52.747252747252745,53.08641975308642,1998733438,0.0029870920268124,3.369704625419307e-05,3.420835690786216e-05
MLP-Tiny,16,2,44.5054945054945,45.26748971193416,2137578785,0.000841525418041,0.000352291594421,1.1928464342219804e-05
MLP-Tiny,16,3,51.64835164835165,53.77229080932785,967004005,0.0068297229053642,0.0,5.480370187996487e-05
MLP-Tiny,16,4,44.23076923076923,44.718792866941016,55610955,0.0399220014905762,0.0072459786334064,0.0013057300532711
MLP-Tiny,16,5,51.64835164835165,52.26337448559671,831605409,0.0337694333816759,0.0017152870449259,2.1242388843279897e-06
MLP-Tiny,16,6,52.60989010989011,53.36076817558299,340782737,0.0037506905659801,0.0,0.0004897455604295
MLP-Tiny,16,7,53.434065934065934,54.45816186556928,1336243673,0.0144072167215384,0.0,0.0005575825411807
MLP-Tiny,16,8,44.78021978021978,42.52400548696845,226903997,0.0062504569548039,0.003822887264114,0.0008311958974811
MLP-Tiny,16,9,43.54395604395605,43.75857338820302,387652293,0.0004313246429924,0.0,0.0003590343919446
MLP-Tiny,17,0,44.09030544488712,41.43426294820717,397086385,0.0054962501421135,0.0015830579035901,1.4940376008413365e-06
MLP-Tiny,17,1,38.91102257636122,36.25498007968128,804325231,0.0011652567653374,0.0011575510438462,4.577881200701845e-06
MLP-Tiny,17,2,50.066401062417,50.59760956175299,1899473986,0.0543062468187774,6.840228849390228e-05,0.0073097173556066
MLP-Tiny,17,3,49.26958831341302,51.66002656042497,1024895955,0.0028668043493553,2.168439098616792e-05,4.764554719274224e-05
MLP-Tiny,17,4,46.21513944223108,48.60557768924303,412340662,0.0353243875327656,0.0039353767711951,1.8553812134997856e-06
MLP-Tiny,17,5,52.58964143426295,51.527224435590966,1598797965,0.0096941790686075,0.0010999491632452,0.0048325087024534
MLP-Tiny,17,6,48.87118193891102,48.60557768924303,503854424,0.0012658315347184,1.0929017565101176e-05,0.0003395273099948
MLP-Tiny,17,7,51.92563081009296,51.79282868525896,1555264222,0.0005304536049559,1.4046834902269198e-05,3.976855601241674e-06
MLP-Tiny,17,8,45.94953519256308,44.48871181938911,829783057,0.0018894752988699,0.0006803659444452,0.0016320172958291
