architecture,run,trial,val_acc,test_acc,train_seed,lr,weight_decay,momentum,max_steps
shake_shake_32d,5,25,95.309670409272,95.2648257129923,35107043,0.0850934870663759,0.0003714632908325,0.8048767534593064,99510
shake_shake_32d,5,26,68.19992756247737,67.9764599366229,1003842009,0.0718915271673791,0.005383626398973,0.9200694445542908,112238
shake_shake_32d,5,27,95.35494386091996,94.87550928021729,755606264,0.0618318196587136,0.002373510346872,0.8134985711704037,103944
shake_shake_32d,5,28,87.16044911264035,87.40606609325486,1327970291,0.2358945768538789,0.0011177306440382,0.8675081909152699,134905
shake_shake_32d,5,29,94.47663889894966,94.39565414214576,1242995402,0.2296918467242102,0.0001414190748956,0.9475584592689724,91797
shake_shake_32d,6,0,93.84740113503288,93.30751215997118,1727478974,0.0295250415173185,7.888960789984468e-05,0.8566081604458943,111487
shake_shake_32d,6,1,94.595081524187,94.60457575211672,44356013,0.0428848642049432,3.662278826929442e-05,0.9469939979340324,135257
shake_shake_32d,6,2,95.6130078371318,95.09998198522788,566336401,0.0087110121156556,0.0023103973364571,0.9090897422291484,122652
shake_shake_32d,6,3,94.81127826321952,94.2622950819672,1841467077,0.0147814034582928,0.0006610712570416,0.8149180612658965,116770
shake_shake_32d,6,4,95.34276191334114,94.8838047198703,926232802,0.0466025305285785,0.0002554496730158,0.9596494528376632,102520
shake_shake_32d,6,5,84.54193315917485,84.0028823635381,1575557931,0.005819071751814,0.0096836497164755,0.982441303680872,94183
shake_shake_32d,6,6,95.31573732096209,95.02792289677537,272677313,0.0315389541475451,0.0004740719818196,0.8537397494731567,139582
shake_shake_32d,6,7,95.288712728583,94.4784723473248,1406026192,0.1237752944928243,0.0001781837331083,0.8836305509557704,83017
shake_shake_32d,6,8,95.9102783533015,95.12700414339758,2126648271,0.024580988298431,0.0006940432767439,0.9064442964417964,118689
shake_shake_32d,6,9,93.73930276551664,93.28949738785803,1151524476,0.0142502222805207,3.835770576910868e-05,0.9510295683922944,111709
shake_shake_32d,6,10,92.39708134402306,92.1455593586741,974493965,0.3374975906871171,0.000784921000757,0.8357239133023486,80447
shake_shake_32d,6,11,90.70354022160166,89.89371284453252,1627873129,0.1305473307807626,9.387320419787865e-05,0.9886034253506242,75971
shake_shake_32d,6,12,95.15358976668767,94.71266438479552,257969402,0.2795697551867143,2.395429393409576e-05,0.96517144647705,139037
shake_shake_32d,6,13,82.67723628501936,82.53467843631778,6897631,0.200778567132709,0.0007027444490068,0.952279847466011,93980
shake_shake_32d,6,14,92.9015404017656,92.70401729418124,565375332,0.0083306903193412,1.5415177590422766e-05,0.961303860570588,114264
shake_shake_32d,6,15,94.30681920547698,94.2622950819672,1539681150,0.1789775242822319,2.517655354475005e-05,0.8885764297442155,99038
shake_shake_32d,6,16,92.38807314656336,91.9113673212034,385789415,0.0106822652268792,0.0002211275762336,0.8270471828116617,98082
shake_shake_32d,6,17,95.09053238446988,94.73067915690866,114014044,0.1548521570061426,1.89233466875725e-05,0.9832243916962058,112687
shake_shake_32d,6,18,92.2079091973696,91.71320482795892,2034058283,0.0102746541285611,1.0319334210026896e-05,0.8150210879926847,140180
