val_trial,test_trial,new_trial,val_test_acc,test_test_acc,new_test_acc,val_cifar101_acc,test_cifar101_acc,new_cifar101_acc,n_trials,architecture,run,source
15,18,18,93.75340971085652,93.9261683942535,93.9261683942535,85.95,86.6,86.6,20,resnet_basic_44,22,random
2,9,2,93.73985206566842,93.92928017319142,93.73985206566842,85.85,85.1,85.85,20,resnet_basic_44,23,random
7,5,7,93.21464256517396,93.64156599146152,93.21464256517396,87.0,85.7,87.0,20,resnet_basic_44,24,random
6,14,1,93.54547913098352,93.77986117371316,93.56350851888578,86.25,86.6,87.0,20,resnet_basic_44,25,random
0,12,0,93.73309287646528,93.8863841298467,93.73309287646528,85.6,84.9,85.6,20,resnet_basic_44,26,random
7,12,7,93.66642573183954,93.68449584387425,93.66642573183954,87.1,85.2,87.1,20,resnet_basic_44,27,random
9,8,9,93.4027149321267,93.61085972850678,93.4027149321267,86.75,85.2,86.75,20,resnet_basic_44,28,random
6,6,6,94.21965317919076,94.21965317919076,94.21965317919076,86.7,86.7,86.7,20,resnet_basic_44,29,random
20,20,20,94.33073718529252,94.33073718529252,94.33073718529252,87.15,87.15,87.15,30,resnet_basic_56,0,random
7,7,7,93.77428390711124,93.77428390711124,93.77428390711124,86.6,86.6,86.6,28,resnet_basic_56,1,random
0,8,8,93.61798567672922,93.74490073429426,93.74490073429426,85.65,86.15,86.15,28,resnet_basic_56,2,random
15,15,15,93.89009399855388,93.89009399855388,93.89009399855388,86.35,86.35,86.35,30,resnet_basic_56,3,random
1,16,1,93.26809821509468,93.4311860106913,93.26809821509468,85.9,85.45,85.9,30,resnet_basic_56,4,random
1,1,16,93.6039693279206,93.6039693279206,93.44158773116824,86.35,86.35,86.55,30,resnet_basic_56,5,random
25,17,15,93.86258712772698,93.86258712772698,93.33755770797502,85.7,85.5,86.25,29,resnet_basic_56,6,random
23,28,28,93.6855436945902,93.82124117966347,93.82124117966347,85.55,86.75,86.75,27,resnet_basic_56,7,random
8,8,8,94.0012647935676,94.0012647935676,94.0012647935676,87.2,87.2,87.2,30,resnet_basic_56,8,random
6,15,15,93.51767905711696,93.59020852221217,93.59020852221217,85.4,86.15,86.15,28,resnet_basic_56,9,random
26,26,26,93.72623574144488,93.72623574144488,93.72623574144488,85.7,85.7,85.7,29,resnet_basic_56,10,random
28,28,15,93.59534206695778,93.59534206695778,92.99490538573508,85.35,85.35,85.75,28,resnet_basic_56,11,random
10,10,8,93.82470119521912,93.82470119521912,93.49873234335384,85.95,85.95,86.6,29,resnet_basic_56,12,random
4,27,4,93.64605929139552,93.70932754880694,93.64605929139552,86.45,85.5,86.45,29,resnet_basic_56,13,random
16,3,24,93.85019472873834,94.02228059052622,93.78679467439544,86.85,85.95,87.35,29,resnet_basic_56,14,random
10,10,10,93.91170616971232,93.91170616971232,93.91170616971232,86.25,86.25,86.25,20,resnet_basic_56,15,random
17,17,17,93.85075167542112,93.85075167542112,93.85075167542112,86.75,86.75,86.75,20,resnet_basic_56,16,random
10,10,19,94.16870084079196,94.16870084079196,93.653376729048,86.3,86.3,86.5,20,resnet_basic_56,17,random
7,7,19,93.293564714389,93.293564714389,93.0766449746927,86.2,86.2,86.55,20,resnet_basic_56,18,random
17,17,13,93.74660633484164,93.74660633484164,93.49321266968326,85.5,85.5,85.9,20,resnet_basic_56,19,random
5,5,5,93.68231046931407,93.68231046931407,93.68231046931407,86.4,86.4,86.4,20,resnet_basic_56,20,random
1,11,11,93.78082191780824,94.11872146118722,94.11872146118722,84.5,85.75,85.75,20,resnet_basic_56,21,random
6,7,7,93.4035024045005,93.66663642137738,93.66663642137738,85.85,86.5,86.5,20,resnet_basic_56,22,random
8,2,2,93.7805098535527,93.81666967998554,93.81666967998554,86.1,87.05,87.05,20,resnet_basic_56,23,random
9,1,9,93.5986943512558,93.68029739776952,93.5986943512558,85.5,85.25,85.5,20,resnet_basic_56,24,random
15,15,4,93.791233619521,93.791233619521,93.36647085404428,86.0,86.0,86.6,20,resnet_basic_56,25,random
6,6,11,93.47374129982826,93.47374129982826,93.40142818403687,85.8,85.8,86.05,20,resnet_basic_56,26,random
18,18,18,93.73925631050392,93.73925631050392,93.73925631050392,86.35,86.35,86.35,20,resnet_basic_56,27,random
8,11,1,93.35578410849186,93.7471557294985,93.71985073268408,85.6,85.05,85.8,20,resnet_basic_56,28,random
8,1,8,93.84267631103074,93.93309222423146,93.84267631103074,86.9,85.95,86.9,20,resnet_basic_56,29,random
